ref_area.label,sex.label,classif1.label,classif2.label,time,obs_value
GHA,Total,AGE_YTHADULT_YGE15,EDU_AGGREGATE_TOTAL,2024,2089.693
GHA,Total,AGE_YTHADULT_YGE15,EDU_AGGREGATE_LTB,2024,223.902
GHA,Total,AGE_YTHADULT_YGE15,EDU_AGGREGATE_BAS,2024,708.787
GHA,Total,AGE_YTHADULT_YGE15,EDU_AGGREGATE_INT,2024,763.963
GHA,Total,AGE_YTHADULT_YGE15,EDU_AGGREGATE_ADV,2024,235.248
GHA,Total,AGE_YTHADULT_YGE15,EDU_AGGREGATE_X,2024,157.794
GHA,Total,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_TOTAL,2024,2082.76
GHA,Total,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_LTB,2024,221.731
GHA,Total,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_BAS,2024,704.641
GHA,Total,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_INT,2024,763.346
GHA,Total,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_ADV,2024,235.248
GHA,Total,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_X,2024,157.794
GHA,Total,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_TOTAL,2024,935.1
GHA,Total,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_LTB,2024,72.324
GHA,Total,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_BAS,2024,258.878
GHA,Total,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_INT,2024,477.209
GHA,Total,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_ADV,2024,87.73
GHA,Total,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_X,2024,38.959
GHA,Total,AGE_YTHADULT_YGE25,EDU_AGGREGATE_TOTAL,2024,1154.593
GHA,Total,AGE_YTHADULT_YGE25,EDU_AGGREGATE_LTB,2024,151.578
GHA,Total,AGE_YTHADULT_YGE25,EDU_AGGREGATE_BAS,2024,449.908
GHA,Total,AGE_YTHADULT_YGE25,EDU_AGGREGATE_INT,2024,286.754
GHA,Total,AGE_YTHADULT_YGE25,EDU_AGGREGATE_ADV,2024,147.517
