ref_area.label,sex.label,classif1.label,classif2.label,time,obs_value
GHA,Total,AGE_YTHADULT_YGE15,EDU_AGGREGATE_TOTAL,2024,3145.261
GHA,Total,AGE_YTHADULT_YGE15,EDU_AGGREGATE_LTB,2024,672.352
GHA,Total,AGE_YTHADULT_YGE15,EDU_AGGREGATE_BAS,2024,1182.563
GHA,Total,AGE_YTHADULT_YGE15,EDU_AGGREGATE_INT,2024,493.134
GHA,Total,AGE_YTHADULT_YGE15,EDU_AGGREGATE_ADV,2024,96.503
GHA,Total,AGE_YTHADULT_YGE15,EDU_AGGREGATE_X,2024,700.709
GHA,Total,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_TOTAL,2024,2997.33
GHA,Total,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_LTB,2024,647.428
GHA,Total,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_BAS,2024,1125.976
GHA,Total,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_INT,2024,487.251
GHA,Total,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_ADV,2024,96.503
GHA,Total,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_X,2024,640.172
GHA,Total,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_TOTAL,2024,493.72
GHA,Total,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_LTB,2024,123.772
GHA,Total,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_BAS,2024,199.834
GHA,Total,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_INT,2024,125.195
GHA,Total,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_ADV,2024,10.252
GHA,Total,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_X,2024,34.667
GHA,Total,AGE_YTHADULT_YGE25,EDU_AGGREGATE_TOTAL,2024,2651.541
GHA,Total,AGE_YTHADULT_YGE25,EDU_AGGREGATE_LTB,2024,548.58
GHA,Total,AGE_YTHADULT_YGE25,EDU_AGGREGATE_BAS,2024,982.729
GHA,Total,AGE_YTHADULT_YGE25,EDU_AGGREGATE_INT,2024,367.939
GHA,Total,AGE_YTHADULT_YGE25,EDU_AGGREGATE_ADV,2024,86.252
GHA,Total,AGE_YTHADULT_YGE25,EDU_AGGREGATE_X,2024,666.042
GHA,Male,AGE_YTHADULT_YGE15,EDU_AGGREGATE_TOTAL,2024,1329.736
GHA,Male,AGE_YTHADULT_YGE15,EDU_AGGREGATE_LTB,2024,257.108
GHA,Male,AGE_YTHADULT_YGE15,EDU_AGGREGATE_BAS,2024,524.904
GHA,Male,AGE_YTHADULT_YGE15,EDU_AGGREGATE_INT,2024,278.876
GHA,Male,AGE_YTHADULT_YGE15,EDU_AGGREGATE_ADV,2024,54.614
GHA,Male,AGE_YTHADULT_YGE15,EDU_AGGREGATE_X,2024,214.234
GHA,Male,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_TOTAL,2024,1256.32
GHA,Male,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_LTB,2024,246.815
GHA,Male,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_BAS,2024,496.113
GHA,Male,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_INT,2024,272.993
GHA,Male,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_ADV,2024,54.614
GHA,Male,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_X,2024,185.785
GHA,Male,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_TOTAL,2024,252.751
GHA,Male,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_LTB,2024,87.529
GHA,Male,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_BAS,2024,85.601
GHA,Male,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_INT,2024,64.813
GHA,Male,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_ADV,2024,
GHA,Male,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_X,2024,13.744
GHA,Male,AGE_YTHADULT_YGE25,EDU_AGGREGATE_TOTAL,2024,1076.985
GHA,Male,AGE_YTHADULT_YGE25,EDU_AGGREGATE_LTB,2024,169.579
GHA,Male,AGE_YTHADULT_YGE25,EDU_AGGREGATE_BAS,2024,439.303
GHA,Male,AGE_YTHADULT_YGE25,EDU_AGGREGATE_INT,2024,214.063
GHA,Male,AGE_YTHADULT_YGE25,EDU_AGGREGATE_ADV,2024,53.55
GHA,Male,AGE_YTHADULT_YGE25,EDU_AGGREGATE_X,2024,200.49
GHA,Female,AGE_YTHADULT_YGE15,EDU_AGGREGATE_TOTAL,2024,1815.525
GHA,Female,AGE_YTHADULT_YGE15,EDU_AGGREGATE_LTB,2024,415.244
GHA,Female,AGE_YTHADULT_YGE15,EDU_AGGREGATE_BAS,2024,657.659
