ref_area.label,sex.label,classif1.label,classif2.label,time,obs_value
GHA,Total,AGE_YTHADULT_YGE15,EDU_AGGREGATE_TOTAL,2024,13.358
GHA,Total,AGE_YTHADULT_YGE15,EDU_AGGREGATE_LTB,2024,10.738
GHA,Total,AGE_YTHADULT_YGE15,EDU_AGGREGATE_BAS,2024,10.922
GHA,Total,AGE_YTHADULT_YGE15,EDU_AGGREGATE_INT,2024,21.971
GHA,Total,AGE_YTHADULT_YGE15,EDU_AGGREGATE_ADV,2024,14.662
GHA,Total,AGE_YTHADULT_YGE15,EDU_AGGREGATE_X,2024,10.648
GHA,Total,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_TOTAL,2024,14.004
GHA,Total,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_LTB,2024,11.319
GHA,Total,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_BAS,2024,11.435
GHA,Total,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_INT,2024,22.545
GHA,Total,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_ADV,2024,14.77
GHA,Total,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_X,2024,11.605
GHA,Total,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_TOTAL,2024,28.455
GHA,Total,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_LTB,2024,16.737
GHA,Total,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_BAS,2024,21.06
GHA,Total,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_INT,2024,40.13
GHA,Total,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_ADV,2024,41.627
GHA,Total,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_X,2024,24.939
GHA,Total,AGE_YTHADULT_YGE25,EDU_AGGREGATE_TOTAL,2024,9.54
GHA,Total,AGE_YTHADULT_YGE25,EDU_AGGREGATE_LTB,2024,9.406
GHA,Total,AGE_YTHADULT_YGE25,EDU_AGGREGATE_BAS,2024,8.459
GHA,Total,AGE_YTHADULT_YGE25,EDU_AGGREGATE_INT,2024,11.63
GHA,Total,AGE_YTHADULT_YGE25,EDU_AGGREGATE_ADV,2024,11.145
GHA,Total,AGE_YTHADULT_YGE25,EDU_AGGREGATE_X,2024,9.477
GHA,Male,AGE_YTHADULT_YGE15,EDU_AGGREGATE_TOTAL,2024,11.038
GHA,Male,AGE_YTHADULT_YGE15,EDU_AGGREGATE_LTB,2024,7.664
GHA,Male,AGE_YTHADULT_YGE15,EDU_AGGREGATE_BAS,2024,7.263
GHA,Male,AGE_YTHADULT_YGE15,EDU_AGGREGATE_INT,2024,20.247
GHA,Male,AGE_YTHADULT_YGE15,EDU_AGGREGATE_ADV,2024,12.833
GHA,Male,AGE_YTHADULT_YGE15,EDU_AGGREGATE_X,2024,8.295
GHA,Male,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_TOTAL,2024,11.583
GHA,Male,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_LTB,2024,7.957
GHA,Male,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_BAS,2024,7.629
GHA,Male,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_INT,2024,20.887
GHA,Male,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_ADV,2024,13.057
GHA,Male,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_X,2024,9.141
GHA,Male,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_TOTAL,2024,26.303
GHA,Male,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_LTB,2024,11.854
GHA,Male,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_BAS,2024,17.552
GHA,Male,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_INT,2024,42.158
GHA,Male,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_ADV,2024,39.623
GHA,Male,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_X,2024,17.606
GHA,Male,AGE_YTHADULT_YGE25,EDU_AGGREGATE_TOTAL,2024,6.666
GHA,Male,AGE_YTHADULT_YGE25,EDU_AGGREGATE_LTB,2024,6.182
GHA,Male,AGE_YTHADULT_YGE25,EDU_AGGREGATE_BAS,2024,4.501
GHA,Male,AGE_YTHADULT_YGE25,EDU_AGGREGATE_INT,2024,8.877
GHA,Male,AGE_YTHADULT_YGE25,EDU_AGGREGATE_ADV,2024,10.351
GHA,Male,AGE_YTHADULT_YGE25,EDU_AGGREGATE_X,2024,7.291
GHA,Female,AGE_YTHADULT_YGE15,EDU_AGGREGATE_TOTAL,2024,15.18
GHA,Female,AGE_YTHADULT_YGE15,EDU_AGGREGATE_LTB,2024,12.625
GHA,Female,AGE_YTHADULT_YGE15,EDU_AGGREGATE_BAS,2024,13.834
GHA,Female,AGE_YTHADULT_YGE15,EDU_AGGREGATE_INT,2024,23.792
GHA,Female,AGE_YTHADULT_YGE15,EDU_AGGREGATE_ADV,2024,16.989
GHA,Female,AGE_YTHADULT_YGE15,EDU_AGGREGATE_X,2024,11.854
GHA,Female,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_TOTAL,2024,15.896
GHA,Female,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_LTB,2024,13.391
GHA,Female,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_BAS,2024,14.408
GHA,Female,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_INT,2024,24.27
GHA,Female,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_ADV,2024,16.906
GHA,Female,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_X,2024,12.869
GHA,Female,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_TOTAL,2024,30.483
GHA,Female,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_LTB,2024,22.631
GHA,Female,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_BAS,2024,24.293
GHA,Female,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_INT,2024,38.231
GHA,Female,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_ADV,2024,43.028
GHA,Female,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_X,2024,30.588
GHA,Female,AGE_YTHADULT_YGE25,EDU_AGGREGATE_TOTAL,2024,11.694
GHA,Female,AGE_YTHADULT_YGE25,EDU_AGGREGATE_LTB,2024,11.091
GHA,Female,AGE_YTHADULT_YGE25,EDU_AGGREGATE_BAS,2024,11.496
GHA,Female,AGE_YTHADULT_YGE25,EDU_AGGREGATE_INT,2024,14.744
GHA,Female,AGE_YTHADULT_YGE25,EDU_AGGREGATE_ADV,2024,12.238
GHA,Female,AGE_YTHADULT_YGE25,EDU_AGGREGATE_X,2024,10.557
GHA,Total,AGE_AGGREGATE_YGE15,EDU_AGGREGATE_TOTAL,2024,13.358
GHA,Total,AGE_AGGREGATE_YGE15,EDU_AGGREGATE_LTB,2024,10.738
GHA,Total,AGE_AGGREGATE_YGE15,EDU_AGGREGATE_BAS,2024,10.922
GHA,Total,AGE_AGGREGATE_YGE15,EDU_AGGREGATE_INT,2024,21.971
GHA,Total,AGE_AGGREGATE_YGE15,EDU_AGGREGATE_ADV,2024,14.662
GHA,Total,AGE_AGGREGATE_YGE15,EDU_AGGREGATE_X,2024,10.648
GHA,Total,AGE_AGGREGATE_Y15-24,EDU_AGGREGATE_TOTAL,2024,28.455
GHA,Total,AGE_AGGREGATE_Y15-24,EDU_AGGREGATE_LTB,2024,16.737
GHA,Total,AGE_AGGREGATE_Y15-24,EDU_AGGREGATE_BAS,2024,21.06
GHA,Total,AGE_AGGREGATE_Y15-24,EDU_AGGREGATE_INT,2024,40.13
GHA,Total,AGE_AGGREGATE_Y15-24,EDU_AGGREGATE_ADV,2024,41.627
GHA,Total,AGE_AGGREGATE_Y15-24,EDU_AGGREGATE_X,2024,24.939
GHA,Total,AGE_AGGREGATE_Y25-54,EDU_AGGREGATE_TOTAL,2024,10.213
GHA,Total,AGE_AGGREGATE_Y25-54,EDU_AGGREGATE_LTB,2024,10.162
GHA,Total,AGE_AGGREGATE_Y25-54,EDU_AGGREGATE_BAS,2024,8.879
GHA,Total,AGE_AGGREGATE_Y25-54,EDU_AGGREGATE_INT,2024,12.558
GHA,Total,AGE_AGGREGATE_Y25-54,EDU_AGGREGATE_ADV,2024,11.408
GHA,Total,AGE_AGGREGATE_Y25-54,EDU_AGGREGATE_X,2024,10.314
GHA,Total,AGE_AGGREGATE_Y55-64,EDU_AGGREGATE_TOTAL,2024,9.283
GHA,Total,AGE_AGGREGATE_Y55-64,EDU_AGGREGATE_LTB,2024,9.217
GHA,Total,AGE_AGGREGATE_Y55-64,EDU_AGGREGATE_BAS,2024,9.192
