ref_area.label,sex.label,classif1.label,classif2.label,time,obs_value
AFG,Female,OC2_ISCO08_83,,2021,
AFG,Female,OC2_ISCO08_91,,2021,15.161
AFG,Female,OC2_ISCO08_92,,2021,8.617
AFG,Female,OC2_ISCO08_93,,2021,12.155
AFG,Female,OC2_ISCO08_94,,2021,
AFG,Female,OC2_ISCO08_96,,2021,
AFG,Female,OC2_ISCO08_X,,2021,138.091
AFG,Total,OC2_ISCO08_TOTAL,,2020,6078.509
AFG,Total,OC2_ISCO08_01,,2020,41.231
AFG,Total,OC2_ISCO08_02,,2020,10.261
AFG,Total,OC2_ISCO08_03,,2020,119.735
AFG,Total,OC2_ISCO08_11,,2020,11.915
AFG,Total,OC2_ISCO08_12,,2020,31.151
AFG,Total,OC2_ISCO08_13,,2020,19.406
AFG,Total,OC2_ISCO08_14,,2020,12.756
AFG,Total,OC2_ISCO08_21,,2020,24.439
AFG,Total,OC2_ISCO08_22,,2020,52.082
AFG,Total,OC2_ISCO08_23,,2020,155.679
AFG,Total,OC2_ISCO08_24,,2020,3.672
AFG,Total,OC2_ISCO08_25,,2020,2.029
AFG,Total,OC2_ISCO08_26,,2020,4.408
AFG,Total,OC2_ISCO08_31,,2020,3.145
AFG,Total,OC2_ISCO08_32,,2020,9.858
AFG,Total,OC2_ISCO08_33,,2020,29.757
AFG,Total,OC2_ISCO08_34,,2020,34.186
AFG,Total,OC2_ISCO08_35,,2020,6.792
AFG,Total,OC2_ISCO08_41,,2020,14.439
AFG,Total,OC2_ISCO08_42,,2020,17.17
AFG,Total,OC2_ISCO08_43,,2020,3.593
AFG,Total,OC2_ISCO08_44,,2020,64.314
AFG,Total,OC2_ISCO08_51,,2020,237.898
AFG,Total,OC2_ISCO08_52,,2020,505.246
AFG,Total,OC2_ISCO08_53,,2020,4.073
AFG,Total,OC2_ISCO08_54,,2020,84.823
AFG,Total,OC2_ISCO08_61,,2020,2292.45
AFG,Total,OC2_ISCO08_62,,2020,21.187
AFG,Total,OC2_ISCO08_63,,2020,367.571
AFG,Total,OC2_ISCO08_71,,2020,260.875
AFG,Total,OC2_ISCO08_72,,2020,113.888
AFG,Total,OC2_ISCO08_73,,2020,107.533
AFG,Total,OC2_ISCO08_74,,2020,7.562
AFG,Total,OC2_ISCO08_75,,2020,313.365
AFG,Total,OC2_ISCO08_81,,2020,40.759
AFG,Total,OC2_ISCO08_82,,2020,
AFG,Total,OC2_ISCO08_83,,2020,365.734
AFG,Total,OC2_ISCO08_91,,2020,16.532
AFG,Total,OC2_ISCO08_92,,2020,47.99
AFG,Total,OC2_ISCO08_93,,2020,328.453
AFG,Total,OC2_ISCO08_94,,2020,1.092
AFG,Total,OC2_ISCO08_95,,2020,64.164
AFG,Total,OC2_ISCO08_96,,2020,27.652
AFG,Total,OC2_ISCO08_X,,2020,196.789
AFG,Male,OC2_ISCO08_TOTAL,,2020,4937.784
AFG,Male,OC2_ISCO08_01,,2020,41.231
AFG,Male,OC2_ISCO08_02,,2020,9.791
AFG,Male,OC2_ISCO08_03,,2020,119.471
AFG,Male,OC2_ISCO08_11,,2020,11.702
AFG,Male,OC2_ISCO08_12,,2020,30.498
AFG,Male,OC2_ISCO08_13,,2020,16.593
AFG,Male,OC2_ISCO08_14,,2020,12.756
AFG,Male,OC2_ISCO08_21,,2020,23.836
AFG,Male,OC2_ISCO08_22,,2020,45.989
AFG,Male,OC2_ISCO08_23,,2020,103.249
AFG,Male,OC2_ISCO08_24,,2020,3.406
AFG,Male,OC2_ISCO08_25,,2020,2.029
AFG,Male,OC2_ISCO08_26,,2020,4.066
AFG,Male,OC2_ISCO08_31,,2020,3.145
AFG,Male,OC2_ISCO08_32,,2020,8.106
AFG,Male,OC2_ISCO08_33,,2020,28.477
AFG,Male,OC2_ISCO08_34,,2020,33.639
AFG,Male,OC2_ISCO08_35,,2020,6.566
AFG,Male,OC2_ISCO08_41,,2020,13.919
AFG,Male,OC2_ISCO08_42,,2020,16.555
AFG,Male,OC2_ISCO08_43,,2020,3.335
AFG,Male,OC2_ISCO08_44,,2020,59.42
AFG,Male,OC2_ISCO08_51,,2020,121.385
AFG,Male,OC2_ISCO08_52,,2020,496.014
AFG,Male,OC2_ISCO08_53,,2020,0.96
AFG,Male,OC2_ISCO08_54,,2020,80.981
AFG,Male,OC2_ISCO08_61,,2020,1750.179
AFG,Male,OC2_ISCO08_62,,2020,21.026
AFG,Male,OC2_ISCO08_63,,2020,313.194
AFG,Male,OC2_ISCO08_71,,2020,259.804
AFG,Male,OC2_ISCO08_72,,2020,113.501
AFG,Male,OC2_ISCO08_73,,2020,17.808
AFG,Male,OC2_ISCO08_74,,2020,7.562
AFG,Male,OC2_ISCO08_75,,2020,119.228
AFG,Male,OC2_ISCO08_81,,2020,39.841
AFG,Male,OC2_ISCO08_82,,2020,
AFG,Male,OC2_ISCO08_83,,2020,365.517
AFG,Male,OC2_ISCO08_91,,2020,12.85
AFG,Male,OC2_ISCO08_92,,2020,47.297
AFG,Male,OC2_ISCO08_93,,2020,321.152
AFG,Male,OC2_ISCO08_94,,2020,1.092
AFG,Male,OC2_ISCO08_95,,2020,62.562
AFG,Male,OC2_ISCO08_96,,2020,23.935
AFG,Male,OC2_ISCO08_X,,2020,163.262
AFG,Female,OC2_ISCO08_TOTAL,,2020,1140.725
AFG,Female,OC2_ISCO08_02,,2020,
AFG,Female,OC2_ISCO08_03,,2020,
AFG,Female,OC2_ISCO08_11,,2020,
AFG,Female,OC2_ISCO08_12,,2020,
AFG,Female,OC2_ISCO08_13,,2020,2.813
AFG,Female,OC2_ISCO08_21,,2020,
AFG,Female,OC2_ISCO08_22,,2020,6.093
AFG,Female,OC2_ISCO08_23,,2020,52.43
AFG,Female,OC2_ISCO08_24,,2020,
AFG,Female,OC2_ISCO08_25,,2020,
AFG,Female,OC2_ISCO08_26,,2020,
AFG,Female,OC2_ISCO08_31,,2020,
AFG,Female,OC2_ISCO08_32,,2020,1.752
AFG,Female,OC2_ISCO08_33,,2020,1.28
AFG,Female,OC2_ISCO08_34,,2020,
AFG,Female,OC2_ISCO08_35,,2020,
AFG,Female,OC2_ISCO08_41,,2020,
AFG,Female,OC2_ISCO08_42,,2020,
AFG,Female,OC2_ISCO08_43,,2020,
AFG,Female,OC2_ISCO08_44,,2020,4.894
AFG,Female,OC2_ISCO08_51,,2020,116.513
AFG,Female,OC2_ISCO08_52,,2020,9.232
AFG,Female,OC2_ISCO08_53,,2020,3.113
AFG,Female,OC2_ISCO08_54,,2020,3.842
AFG,Female,OC2_ISCO08_61,,2020,542.271
AFG,Female,OC2_ISCO08_62,,2020,
AFG,Female,OC2_ISCO08_63,,2020,54.377
AFG,Female,OC2_ISCO08_71,,2020,1.071
AFG,Female,OC2_ISCO08_72,,2020,
AFG,Female,OC2_ISCO08_73,,2020,89.725
AFG,Female,OC2_ISCO08_75,,2020,194.137
AFG,Female,OC2_ISCO08_81,,2020,0.918
AFG,Female,OC2_ISCO08_82,,2020,
AFG,Female,OC2_ISCO08_83,,2020,
AFG,Female,OC2_ISCO08_91,,2020,3.682
AFG,Female,OC2_ISCO08_92,,2020,0.693
AFG,Female,OC2_ISCO08_93,,2020,7.301
AFG,Female,OC2_ISCO08_94,,2020,
AFG,Female,OC2_ISCO08_95,,2020,1.602
AFG,Female,OC2_ISCO08_96,,2020,3.717
AFG,Female,OC2_ISCO08_X,,2020,33.527
AGO,Total,OC2_ISCO08_TOTAL,,2025,13450.366
AGO,Total,OC2_ISCO08_01,,2025,38.813
AGO,Total,OC2_ISCO08_02,,2025,74.971
AGO,Total,OC2_ISCO08_03,,2025,26.498
AGO,Total,OC2_ISCO08_11,,2025,19.426
AGO,Total,OC2_ISCO08_12,,2025,10.719
AGO,Total,OC2_ISCO08_13,,2025,39.904
AGO,Total,OC2_ISCO08_14,,2025,54.573
AGO,Total,OC2_ISCO08_21,,2025,33.331
AGO,Total,OC2_ISCO08_22,,2025,148.414
AGO,Total,OC2_ISCO08_23,,2025,344.403
AGO,Total,OC2_ISCO08_24,,2025,40.094
AGO,Total,OC2_ISCO08_25,,2025,14.299
AGO,Total,OC2_ISCO08_26,,2025,33.69
AGO,Total,OC2_ISCO08_31,,2025,74.786
AGO,Total,OC2_ISCO08_32,,2025,15.251
AGO,Total,OC2_ISCO08_33,,2025,178.026
AGO,Total,OC2_ISCO08_34,,2025,38.591
AGO,Total,OC2_ISCO08_35,,2025,25.36
AGO,Total,OC2_ISCO08_41,,2025,24.926
AGO,Total,OC2_ISCO08_42,,2025,64.361
AGO,Total,OC2_ISCO08_43,,2025,5.47
AGO,Total,OC2_ISCO08_44,,2025,8.271
AGO,Total,OC2_ISCO08_51,,2025,464.119
AGO,Total,OC2_ISCO08_52,,2025,2390.362
AGO,Total,OC2_ISCO08_53,,2025,49.847
AGO,Total,OC2_ISCO08_54,,2025,373.805
AGO,Total,OC2_ISCO08_61,,2025,891.83
AGO,Total,OC2_ISCO08_62,,2025,81.652
AGO,Total,OC2_ISCO08_63,,2025,5451.54
AGO,Total,OC2_ISCO08_71,,2025,361.842
AGO,Total,OC2_ISCO08_72,,2025,246.401
AGO,Total,OC2_ISCO08_73,,2025,66.102
AGO,Total,OC2_ISCO08_74,,2025,52.537
AGO,Total,OC2_ISCO08_75,,2025,157.762
AGO,Total,OC2_ISCO08_81,,2025,61.62
AGO,Total,OC2_ISCO08_82,,2025,6.356
AGO,Total,OC2_ISCO08_83,,2025,541.135
AGO,Total,OC2_ISCO08_91,,2025,332.398
AGO,Total,OC2_ISCO08_92,,2025,96.833
AGO,Total,OC2_ISCO08_93,,2025,39.331
AGO,Total,OC2_ISCO08_94,,2025,17.183
AGO,Total,OC2_ISCO08_95,,2025,152.143
AGO,Total,OC2_ISCO08_96,,2025,77.539
AGO,Total,OC2_ISCO08_X,,2025,223.854
AGO,Male,OC2_ISCO08_TOTAL,,2025,6540.04
AGO,Male,OC2_ISCO08_01,,2025,37.7
AGO,Male,OC2_ISCO08_02,,2025,72.694
AGO,Male,OC2_ISCO08_03,,2025,26.498
AGO,Male,OC2_ISCO08_11,,2025,18.309
AGO,Male,OC2_ISCO08_12,,2025,10.003
AGO,Male,OC2_ISCO08_13,,2025,32.976
AGO,Male,OC2_ISCO08_14,,2025,42.742
AGO,Male,OC2_ISCO08_21,,2025,28.105
AGO,Male,OC2_ISCO08_22,,2025,64.586
AGO,Male,OC2_ISCO08_23,,2025,228.314
AGO,Male,OC2_ISCO08_24,,2025,22.144
AGO,Male,OC2_ISCO08_25,,2025,14.043
AGO,Male,OC2_ISCO08_26,,2025,23.79
AGO,Male,OC2_ISCO08_31,,2025,74.065
AGO,Male,OC2_ISCO08_32,,2025,5.631
AGO,Male,OC2_ISCO08_33,,2025,133.841
AGO,Male,OC2_ISCO08_34,,2025,23.839
AGO,Male,OC2_ISCO08_35,,2025,18.18
AGO,Male,OC2_ISCO08_41,,2025,7.763
AGO,Male,OC2_ISCO08_42,,2025,54.667
AGO,Male,OC2_ISCO08_43,,2025,5.172
AGO,Male,OC2_ISCO08_44,,2025,5.506
AGO,Male,OC2_ISCO08_51,,2025,134.009
AGO,Male,OC2_ISCO08_52,,2025,453.324
AGO,Male,OC2_ISCO08_53,,2025,14.514
AGO,Male,OC2_ISCO08_54,,2025,354.005
AGO,Male,OC2_ISCO08_61,,2025,419.371
AGO,Male,OC2_ISCO08_62,,2025,76.963
AGO,Male,OC2_ISCO08_63,,2025,2422.419
AGO,Male,OC2_ISCO08_71,,2025,358.876
AGO,Male,OC2_ISCO08_72,,2025,241.76
AGO,Male,OC2_ISCO08_73,,2025,63.703
AGO,Male,OC2_ISCO08_74,,2025,52.193
AGO,Male,OC2_ISCO08_75,,2025,100.645
AGO,Male,OC2_ISCO08_81,,2025,49.172
